reference	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155																																																																																																																																																												
time 	area																																																																																																																																																																																																																																																																																																																						
0	0	23.203	215.902	0	0	0	0	0	0	0	0	0	0	29.765	3.322	33.886	0.249	0	0	25.431	32.082	0	0	0	0	20.445	0.383	21.285	3.737	47.361	6.603	27.551	1.651	0	0	28.147	2.348	0	0	0	0	0	0	0	0	32.163	16.666	0	0	0	0	0	0	0	0	25.444	61.822	33.907	5.792	0	0	21.661	18.961	0	0	0	0	0	0	0	0	0	0	0	0	25.17	2.62	0	0	0	0	0	0	21.664	9.428	0	0	26.778	0.575	0	0	0	0	30.872	4.135	21.039	4.126	19.714	8.69	49.733	2.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.938	1.991	0	0	0	0	0	0	33.431	2.14	0	0	43.749	0.644	0	0	29.763	2.295	0	0	0	0	0	0	0	0	0	0	0	0	39.024	1.025	30.632	13.676	27.682	0.463	0	0	0	0	23.186	117.966	28.973	1.218	0	0	0	0	26.295	8.824	28.992	1.075	0	0	0	0	0	0	0	0	0	0	22.831	6.231	0	0	25.563	6.517	52.876	8.464	19.718	12.788	23.748	10.247	22.915	1.483	0	0	0	0	53.294	5.386	0	0	0	0	37.151	2.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.027	0.831	0	0	0	0	0	0	35.264	0.704	0	0	0	0	0	0	30.131	7.332	0	0	0	0	0	0	31.443	29.617	24.019	11.709	24.747	13.604	21.94	4.261	0	0	0	0	41.747	1.57	22.127	2.627	33.389	2.217	34.612	1.885	29.153	0.204	0	0	0	0	0	0	0	0	0	0	0	0	38.987	0.336	0	0	41.745	2.703	0	0	33.218	7.155	21.941	2.401	43.204	3.21	35.842	2.197	0	0	22.723	7.422	19.387	20.444	20.554	1.379	47.221	2.376	43.194	1.142	0	0	27.675	2.291
0	0	23.439	89.694	0	0	0	0	0	0	0	0	0	0	29.931	16.53	33.989	1.67	0	0	25.566	15.094	0	0	0	0	20.641	0.856	21.403	15.06	47.633	1.006	27.624	0.552	0	0	28.274	1.211	0	0	0	0	0	0	0	0	32.256	11.387	0	0	0	0	0	0	0	0	25.579	15.592	34.051	1.48	0	0	21.808	21.647	0	0	0	0	0	0	0	0	0	0	0	0	25.25	8.9	0	0	0	0	0	0	21.811	10.984	0	0	26.877	2.771	0	0	0	0	30.988	2.24	21.097	8.278	19.807	4.573	52.802	9.567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.987	1.654	0	0	0	0	0	0	33.559	2.381	0	0	47.31	3.096	0	0	29.934	4.26	0	0	0	0	0	0	0	0	0	0	0	0	41.168	0.456	30.734	7.111	27.829	12.58	0	0	0	0	23.426	77.592	29.052	0.49	0	0	0	0	26.403	1.293	29.073	0.695	0	0	0	0	0	0	0	0	0	0	23.018	4.606	0	0	25.745	330.83	53.291	1.519	19.811	4.72	23.834	37.496	23.019	2.603	0	0	0	0	0	0	0	0	0	0	41.68	0.569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.263	0.975	0	0	0	0	0	0	35.535	5.122	0	0	0	0	0	0	30.233	5.319	0	0	0	0	0	0	31.643	3.541	24.146	67.454	24.839	6.325	21.994	8.057	0	0	0	0	43.201	1.465	22.264	1.499	33.521	3.295	34.713	1.303	29.246	8.059	0	0	0	0	0	0	0	0	0	0	0	0	41.114	0.486	0	0	43.013	0.355	0	0	33.393	1.962	21.996	2.801	43.672	1.667	36.794	0.44	0	0	22.818	3.69	19.492	10.143	20.624	2.299	47.606	12.804	47.236	2.699	0	0	27.742	6.006
0	0	23.568	11.296	0	0	0	0	0	0	0	0	0	0	30.044	3.569	34.162	6.86	0	0	25.755	748.748	0	0	0	0	20.721	5.515	21.491	36.66	48.196	14.35	27.683	2.133	0	0	28.369	2.453	0	0	0	0	0	0	0	0	32.444	12.456	0	0	0	0	0	0	0	0	25.771	1054.301	34.209	8.607	0	0	21.871	14.181	0	0	0	0	0	0	0	0	0	0	0	0	25.435	53.577	0	0	0	0	0	0	21.874	6.86	0	0	27.007	0.555	0	0	0	0	31.098	4.523	21.281	8.152	19.863	1.983	53.268	4.043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.077	1.485	0	0	0	0	0	0	33.649	0.408	0	0	47.587	1.961	0	0	30.019	3.504	0	0	0	0	0	0	0	0	0	0	0	0	41.653	0.771	30.877	5.909	27.938	4.514	0	0	0	0	23.617	14.703	29.167	0.682	0	0	0	0	26.535	88.797	29.147	0.507	0	0	0	0	0	0	0	0	0	0	23.086	4.193	0	0	25.892	23.514	0	0	19.869	3.496	23.916	5.95	23.087	2.394	0	0	0	0	0	0	0	0	0	0	41.842	0.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.367	0.259	0	0	0	0	0	0	35.786	1.254	0	0	0	0	0	0	30.389	12.782	0	0	0	0	0	0	31.725	7.533	24.395	17.051	24.933	4.95	22.121	11.389	0	0	0	0	47.219	2.419	22.4	0.399	33.62	0.801	35.238	0.755	29.378	0.379	0	0	0	0	0	0	0	0	0	0	0	0	41.608	2.027	0	0	43.195	2.981	0	0	33.52	2.941	22.124	5.434	46.153	1.059	37.094	1.634	0	0	22.907	2.438	19.541	7.787	20.706	14.539	49.112	1.561	47.624	11.546	0	0	27.813	12.819
0	0	23.632	17.082	0	0	0	0	0	0	0	0	0	0	30.139	2.41	34.362	4.154	0	0	25.894	23.387	0	0	0	0	20.864	1.77	21.579	9.154	52.916	4.714	27.825	21.69	0	0	28.467	0.864	0	0	0	0	0	0	0	0	32.571	2.22	0	0	0	0	0	0	0	0	25.938	5.745	34.35	8.254	0	0	21.96	6.606	0	0	0	0	0	0	0	0	0	0	0	0	25.57	10.712	0	0	0	0	0	0	21.957	3.221	0	0	27.07	16.882	0	0	0	0	31.195	2.479	21.397	16.452	19.895	2.229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.147	3.105	0	0	0	0	0	0	33.776	1.403	0	0	48.049	9.073	0	0	30.14	1.855	0	0	0	0	0	0	0	0	0	0	0	0	41.808	1.846	30.986	2.211	28.076	11.121	0	0	0	0	23.741	30.993	29.255	5.876	0	0	0	0	26.776	0.304	29.254	13.593	0	0	0	0	0	0	0	0	0	0	23.191	108.718	0	0	26.115	4.073	0	0	19.901	4.193	23.97	4.706	23.191	106.146	0	0	0	0	0	0	0	0	0	0	47.36	1.649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.534	7.077	0	0	0	0	0	0	35.889	5.086	0	0	0	0	0	0	30.507	3.612	0	0	0	0	0	0	31.902	4.128	24.615	17.727	25.036	5.312	22.257	5.693	0	0	0	0	47.716	14.546	22.515	2.619	33.741	1.417	35.492	8.96	29.463	0.903	0	0	0	0	0	0	0	0	0	0	0	0	41.768	7.086	0	0	43.67	0.892	0	0	33.612	0.673	22.261	2.361	46.716	1.183	40.72	0.909	0	0	23.004	4.284	19.622	9.655	20.853	5.354	49.64	1.467	49.122	1.155	0	0	27.899	4.364
0	0	23.752	33.492	0	0	0	0	0	0	0	0	0	0	30.287	4.671	34.626	4.029	0	0	26.146	4.959	0	0	0	0	20.965	3.531	21.661	11.428	0	0	27.905	6.858	0	0	28.546	18.722	0	0	0	0	0	0	0	0	32.693	3.101	0	0	0	0	0	0	0	0	26.159	2.552	34.513	1.513	0	0	22.011	10.874	0	0	0	0	0	0	0	0	0	0	0	0	25.758	580.881	0	0	0	0	0	0	22.014	5.708	0	0	27.16	1.849	0	0	0	0	31.293	1.783	21.489	56.815	19.97	1.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.238	1.205	0	0	0	0	0	0	34.006	2.226	0	0	49.202	1.01	0	0	30.231	2.054	0	0	0	0	0	0	0	0	0	0	0	0	47.317	2.096	31.053	2.243	28.273	0.6	0	0	0	0	23.83	61.737	29.366	0.568	0	0	0	0	26.873	1.909	29.393	0.673	0	0	0	0	0	0	0	0	0	0	23.43	63.866	0	0	26.292	11.667	0	0	19.975	2.423	24.037	5.123	23.432	55.41	0	0	0	0	0	0	0	0	0	0	48.206	6.441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.785	2.328	0	0	0	0	0	0	36.845	0.665	0	0	0	0	0	0	30.631	30.878	0	0	0	0	0	0	32.012	3.581	24.747	16.665	25.15	4.927	22.389	4.165	0	0	0	0	49.101	1.891	22.606	0.999	33.863	0.751	35.643	2.459	29.553	0.604	0	0	0	0	0	0	0	0	0	0	0	0	43.229	0.855	0	0	46.146	0.841	0	0	33.738	1.504	22.391	1.196	47.233	2.445	41.078	0.563	0	0	23.073	3.863	19.705	12.766	20.954	11.722	53.167	2.916	49.658	1.164	0	0	27.973	2.502
0	0	23.845	76.897	0	0	0	0	0	0	0	0	0	0	30.395	9.878	34.806	0.4	0	0	26.295	18.757	0	0	0	0	21.044	2.324	21.805	12.026	0	0	28.08	64.7	0	0	28.71	8.094	0	0	0	0	0	0	0	0	32.846	2.865	0	0	0	0	0	0	0	0	26.304	26.98	34.641	4.411	0	0	22.139	19.18	0	0	0	0	0	0	0	0	0	0	0	0	25.905	8.195	0	0	0	0	0	0	22.141	8.431	0	0	27.227	1.974	0	0	0	0	31.4	25.641	21.574	12.586	20.041	1.735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.363	2.819	0	0	0	0	0	0	34.179	3.41	0	0	49.752	0.7	0	0	30.287	2.796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.1	2.149	28.365	2.384	0	0	0	0	23.91	11.568	29.472	0.624	0	0	0	0	26.959	1.007	29.476	1.462	0	0	0	0	0	0	0	0	0	0	23.556	12.695	0	0	26.36	1.752	0	0	20.044	3.355	24.157	40.23	23.62	7.647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.882	4.814	0	0	0	0	0	0	36.967	0.359	0	0	0	0	0	0	30.734	7.848	0	0	0	0	0	0	32.15	18.125	24.846	7.549	25.228	5.598	22.51	5.285	0	0	0	0	49.65	1.625	22.726	5.745	33.963	1.727	35.848	2.252	29.672	1.386	0	0	0	0	0	0	0	0	0	0	0	0	46.986	0.805	0	0	47.24	4.157	0	0	33.853	0.53	22.512	3.14	47.681	22.4	41.585	1.128	0	0	23.176	107.073	19.798	4.59	21.031	7.133	0	0	52.561	3.09	0	0	28.07	15.51
0	0	23.929	13.393	0	0	0	0	0	0	0	0	0	0	30.509	3.6	35.019	0.812	0	0	26.407	1.572	0	0	0	0	21.102	4.588	21.87	8.045	0	0	28.278	1.99	0	0	28.853	1.363	0	0	0	0	0	0	0	0	32.973	2.956	0	0	0	0	0	0	0	0	26.404	3.375	34.728	4.551	0	0	22.279	8.98	0	0	0	0	0	0	0	0	0	0	0	0	26.12	3.206	0	0	0	0	0	0	22.28	3.385	0	0	27.324	5.706	0	0	0	0	31.454	16.979	21.654	15.235	20.161	6.424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.543	19.975	0	0	0	0	0	0	34.378	3.67	0	0	52.802	4.037	0	0	30.393	7.465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.191	3.162	28.549	17.081	0	0	0	0	23.994	16.291	29.562	0.803	0	0	0	0	27.065	7.439	29.56	1.616	0	0	0	0	0	0	0	0	0	0	23.622	15.223	0	0	26.407	1.955	0	0	20.166	8.871	24.41	10.736	23.698	11.092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.84	0.96	0	0	0	0	0	0	37.144	3.667	0	0	0	0	0	0	30.876	7.22	0	0	0	0	0	0	32.239	13.602	24.927	6.279	25.275	6.828	22.604	5.311	0	0	0	0	52.543	3.433	22.819	1.042	34.136	6.861	37.169	2.219	29.783	2.32	0	0	0	0	0	0	0	0	0	0	0	0	47.25	8.851	0	0	47.546	7.228	0	0	33.96	2.154	22.606	2.019	48.266	1.877	41.745	2.11	0	0	23.417	61.721	19.856	3.416	21.088	13.689	0	0	53.188	2.423	0	0	28.264	1.507
0	0	24.048	21.339	0	0	0	0	0	0	0	0	0	0	30.636	18.933	35.339	0.6	0	0	26.536	91.458	0	0	0	0	21.284	4.181	22.01	9.421	0	0	28.363	4.155	0	0	28.913	1.133	0	0	0	0	0	0	0	0	33.08	37.281	0	0	0	0	0	0	0	0	26.502	150.383	35.053	0.424	0	0	22.406	5.53	0	0	0	0	0	0	0	0	0	0	0	0	26.301	18.514	0	0	0	0	0	0	22.409	2.648	0	0	27.501	2.183	0	0	0	0	31.66	2.314	21.801	16.867	20.261	0.617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.712	5.966	0	0	0	0	0	0	34.647	2.179	0	0	53.266	1.442	0	0	30.527	3.929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.295	2.841	28.713	4.619	0	0	0	0	24.154	87.563	29.682	0.895	0	0	0	0	27.2	3.106	29.681	2.428	0	0	0	0	0	0	0	0	0	0	23.745	29.03	0	0	26.491	79.05	0	0	20.26	1.32	24.629	10.91	23.749	10.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.989	0.888	0	0	0	0	0	0	37.786	0.539	0	0	0	0	0	0	30.989	3.907	0	0	0	0	0	0	32.44	10.989	25.039	7.279	25.419	52.143	22.721	8.599	0	0	0	0	53.153	3.374	22.908	0.363	34.334	3.433	38.523	0.528	29.922	20.55	0	0	0	0	0	0	0	0	0	0	0	0	47.53	2.527	0	0	47.702	13.485	0	0	34.135	7.654	22.723	5.753	49.113	3.821	43.203	1.914	0	0	23.547	12.128	19.885	4.092	21.271	15.591	0	0	0	0	0	0	28.373	2.984
0	0	24.171	66.738	0	0	0	0	0	0	0	0	0	0	30.739	14.161	35.535	5.736	0	0	26.778	0.445	0	0	0	0	21.4	8.708	22.139	8.196	0	0	28.55	27.955	0	0	28.989	2.302	0	0	0	0	0	0	0	0	33.234	17.856	0	0	0	0	0	0	0	0	26.79	0.448	35.141	0.987	0	0	22.528	13.618	0	0	0	0	0	0	0	0	0	0	0	0	26.498	169.079	0	0	0	0	0	0	22.53	3.366	0	0	27.553	2.876	0	0	0	0	31.742	1.872	21.864	9.976	20.443	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.773	1.437	0	0	0	0	0	0	34.76	0.608	0	0	0	0	0	0	30.636	10.457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.399	8.805	28.77	2.056	0	0	0	0	24.404	22.444	29.792	1.329	0	0	0	0	27.323	2.839	29.759	2.841	0	0	0	0	0	0	0	0	0	0	23.835	53.112	0	0	26.536	83.177	0	0	20.34	0.406	24.758	9.453	23.834	46.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.14	6.765	0	0	0	0	0	0	41.671	0.589	0	0	0	0	0	0	31.098	7.709	0	0	0	0	0	0	32.558	3.096	25.147	5.728	25.554	14.975	22.818	4.246	0	0	0	0	0	0	23.007	0.972	34.598	3.19	38.978	1.032	30.026	3.526	0	0	0	0	0	0	0	0	0	0	0	0	49.66	0.577	0	0	48.266	1.372	0	0	34.33	5.721	22.818	2.51	49.649	2.868	47.242	4.043	0	0	23.608	12.085	19.961	2.043	21.388	27.707	0	0	0	0	0	0	28.461	1.398
0	0	24.332	18.484	0	0	0	0	0	0	0	0	0	0	30.878	7.298	35.786	1.639	0	0	26.876	2.006	0	0	0	0	21.49	39.295	22.274	5.393	0	0	28.666	2.543	0	0	29.073	1.911	0	0	0	0	0	0	0	0	33.406	2.257	0	0	0	0	0	0	0	0	26.886	2.748	35.511	5.596	0	0	22.62	8.943	0	0	0	0	0	0	0	0	0	0	0	0	26.788	0.373	0	0	0	0	0	0	22.622	3.888	0	0	27.626	2.138	0	0	0	0	31.807	0.946	21.953	4.831	20.563	0.321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.858	1.44	0	0	0	0	0	0	35.027	0.958	0	0	0	0	0	0	30.737	27.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.456	13.945	28.85	0.792	0	0	0	0	24.625	21.833	29.933	11.112	0	0	0	0	27.499	1.318	29.932	18.958	0	0	0	0	0	0	0	0	0	0	23.915	12.579	0	0	26.778	0.316	0	0	20.393	0.494	24.886	8.487	23.912	7.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.794	1.435	0	0	0	0	0	0	41.829	1.176	0	0	0	0	0	0	31.194	5.456	0	0	0	0	0	0	32.647	4.388	25.233	7.568	25.741	756.586	22.902	2.901	0	0	0	0	0	0	23.077	0.903	34.772	0.777	41.131	0.709	30.126	2.575	0	0	0	0	0	0	0	0	0	0	0	0	53.207	1.479	0	0	49.096	3.283	0	0	34.593	2.222	22.903	1.19	50.378	0.948	47.712	19.08	0	0	23.73	27.114	20.03	2.638	21.484	99.055	0	0	0	0	0	0	28.536	20.038
0	0	24.419	11.17	0	0	0	0	0	0	0	0	0	0	30.996	3.198	35.885	5.419	0	0	26.965	2.125	0	0	0	0	21.579	9.099	22.404	2.687	0	0	28.711	3.056	0	0	29.162	1.409	0	0	0	0	0	0	0	0	33.54	4.145	0	0	0	0	0	0	0	0	27.009	0.751	35.662	4.322	0	0	22.738	19.762	0	0	0	0	0	0	0	0	0	0	0	0	26.875	2.615	0	0	0	0	0	0	22.74	7.709	0	0	27.684	2.871	0	0	0	0	31.921	2.908	22.005	8.627	20.635	1.291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.984	1.204	0	0	0	0	0	0	35.283	1.167	0	0	0	0	0	0	30.878	10.827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.655	2.584	28.977	2.447	0	0	0	0	24.756	20.312	30.027	1.885	0	0	0	0	27.553	1.527	30.033	2.74	0	0	0	0	0	0	0	0	0	0	24.037	13.752	0	0	26.873	0.957	0	0	20.453	1.796	25.048	3.454	24.033	9.207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.667	0.559	0	0	0	0	0	0	47.333	2.239	0	0	0	0	0	0	31.294	3.951	0	0	0	0	0	0	32.83	2.535	25.281	9.751	25.881	32.319	23.004	5.017	0	0	0	0	0	0	23.176	18.016	35.007	0.619	41.602	0.98	30.224	5.092	0	0	0	0	0	0	0	0	0	0	0	0	54.889	0.798	0	0	49.628	2.843	0	0	34.994	1.149	23.006	1.831	52.581	7.892	48.293	1.32	0	0	23.821	46.033	20.152	9.656	21.564	19.128	0	0	0	0	0	0	28.655	3.732
0	0	24.474	11.728	0	0	0	0	0	0	0	0	0	0	31.104	4.823	36.837	0.774	0	0	27.069	17.55	0	0	0	0	21.66	7.507	22.527	2.855	0	0	28.77	2.552	0	0	29.252	18.481	0	0	0	0	0	0	0	0	33.628	1.475	0	0	0	0	0	0	0	0	27.08	19.847	35.865	3.554	0	0	22.834	7.334	0	0	0	0	0	0	0	0	0	0	0	0	26.968	2.717	0	0	0	0	0	0	22.836	3.481	0	0	27.829	33.084	0	0	0	0	32.033	1.946	22.131	12.514	20.72	9.183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.08	1.2	0	0	0	0	0	0	35.367	0.437	0	0	0	0	0	0	31.045	5.433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.741	4.266	29.053	0.718	0	0	0	0	24.857	10.013	30.13	2.479	0	0	0	0	27.619	0.658	30.128	3.515	0	0	0	0	0	0	0	0	0	0	24.159	47.978	0	0	26.969	0.901	0	0	20.569	0.849	25.16	3.855	24.158	55.326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.829	1.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.399	24.394	0	0	0	0	0	0	32.96	3.417	25.424	57.129	26.104	8.872	23.074	4.501	0	0	0	0	0	0	23.219	35.976	35.118	0.273	41.755	2.7	30.38	9.995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.612	6.665	0	0	35.12	0.632	23.075	1.677	53.179	5.23	49.091	2.525	0	0	23.905	8.775	20.247	0.746	21.646	23.923	0	0	0	0	0	0	28.71	3.377
0	0	24.64	23.056	0	0	0	0	0	0	0	0	0	0	31.199	4.412	36.96	0.318	0	0	27.162	2.953	0	0	0	0	21.805	9.587	22.62	4.449	0	0	28.851	1.966	0	0	29.384	1.604	0	0	0	0	0	0	0	0	33.752	3.437	0	0	0	0	0	0	0	0	27.169	1.814	35.98	0.404	0	0	22.918	6.023	0	0	0	0	0	0	0	0	0	0	0	0	27.074	8.779	0	0	0	0	0	0	22.92	1.958	0	0	27.903	15.261	0	0	0	0	32.162	13.598	22.27	5.481	20.862	3.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.167	1.428	0	0	0	0	0	0	35.549	7.028	0	0	0	0	0	0	31.191	4.835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.92	3.323	29.167	1.006	0	0	0	0	24.935	9.09	30.23	1.801	0	0	0	0	27.678	0.727	30.227	2.824	0	0	0	0	0	0	0	0	0	0	24.32	8.863	0	0	27.07	10.95	0	0	20.64	2.541	25.281	9.256	24.411	15.642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.351	2.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.457	26.441	0	0	0	0	0	0	33.061	42.407	25.559	25.521	26.281	24.534	23.177	113.009	0	0	0	0	0	0	23.418	16.723	35.233	0.673	43.027	0.514	30.497	2.785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.176	4.739	0	0	35.227	1.393	23.174	18.135	0	0	49.65	2.255	0	0	24.023	13.419	20.471	0.608	21.788	24.872	0	0	0	0	0	0	28.773	0.935
0	0	24.772	34.873	0	0	0	0	0	0	0	0	0	0	31.312	3.998	37.139	4.556	0	0	27.22	4.215	0	0	0	0	21.868	5.689	22.737	8.064	0	0	28.986	3.399	0	0	29.47	2.901	0	0	0	0	0	0	0	0	33.916	4.648	0	0	0	0	0	0	0	0	27.233	1.892	36.073	0.266	0	0	23.021	10.676	0	0	0	0	0	0	0	0	0	0	0	0	27.166	1.379	0	0	0	0	0	0	23.023	2.855	0	0	28.079	34.443	0	0	0	0	32.257	24.683	22.399	4.503	20.963	5.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.255	4.496	0	0	0	0	0	0	35.691	1.013	0	0	0	0	0	0	31.296	4.859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.03	2.796	29.255	15.63	0	0	0	0	25.044	9.025	30.392	10.091	0	0	0	0	27.84	10.611	30.287	2.074	0	0	0	0	0	0	0	0	0	0	24.41	8.433	0	0	27.213	3.823	0	0	20.726	13.754	25.371	2.803	24.628	15.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.66	5.828	0	0	0	0	0	0	33.217	21.646	25.753	1406.961	26.353	8.002	23.416	69.353	0	0	0	0	0	0	23.472	15.17	35.495	8.884	43.211	1.036	30.621	21.205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.491	6.515	23.217	34.286	0	0	52.616	5.486	0	0	24.145	62.457	20.554	0.48	21.855	14.958	0	0	0	0	0	0	28.983	0.643
0	0	24.951	23.926	0	0	0	0	0	0	0	0	0	0	31.402	11.064	37.778	0.892	0	0	27.324	6.351	0	0	0	0	21.952	2.655	22.832	2.753	0	0	29.07	1.745	0	0	29.558	2.233	0	0	0	0	0	0	0	0	34.156	6.611	0	0	0	0	0	0	0	0	27.312	1.417	36.281	1.119	0	0	23.087	9.106	0	0	0	0	0	0	0	0	0	0	0	0	27.213	1.389	0	0	0	0	0	0	23.093	2.541	0	0	28.278	3.882	0	0	0	0	32.456	11.954	22.52	3.86	21.041	3.854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.383	1.5	0	0	0	0	0	0	35.807	0.762	0	0	0	0	0	0	31.401	4.947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.165	14.346	29.366	0.782	0	0	0	0	25.156	9.13	30.508	2.249	0	0	0	0	27.94	3.194	30.39	12.642	0	0	0	0	0	0	0	0	0	0	24.463	7.645	0	0	27.327	4.294	0	0	20.867	5.714	25.433	13.369	24.748	11.461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.743	2.864	0	0	0	0	0	0	33.39	2.088	25.882	35.406	26.487	375.842	23.543	13.79	0	0	0	0	0	0	23.61	5.421	35.845	0.525	47.255	5.464	30.726	5.334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.63	2.689	23.417	40.136	0	0	53.173	3.929	0	0	24.397	16.429	20.627	1.952	21.937	7.407	0	0	0	0	0	0	29.065	0.585
0	0	25.069	22.255	0	0	0	0	0	0	0	0	0	0	31.461	7.727	41.822	0.674	0	0	27.433	2.104	0	0	0	0	22.006	3.835	22.893	2.475	0	0	29.167	1.579	0	0	29.679	4.148	0	0	0	0	0	0	0	0	34.355	6.274	0	0	0	0	0	0	0	0	27.37	1.246	36.493	0.532	0	0	23.203	222.743	0	0	0	0	0	0	0	0	0	0	0	0	27.312	1.551	0	0	0	0	0	0	23.193	32.64	0	0	28.37	7.689	0	0	0	0	32.577	1.126	22.614	6.836	21.098	8.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29.474	2.965	0	0	0	0	0	0	35.905	5.059	0	0	0	0	0	0	31.462	5.703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.252	9.476	29.474	0.78	0	0	0	0	25.235	8.54	30.631	18.516	0	0	0	0	27.987	1.805	30.507	2.856	0	0	0	0	0	0	0	0	0	0	24.63	15.691	0	0	27.503	3.351	0	0	20.969	12.524	25.476	12.497	24.86	4.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.799	3.377	0	0	0	0	0	0	33.521	4.093	26.105	9.674	26.766	0.722	23.607	14.058	0	0	0	0	0	0	23.737	13.581	36.809	0.29	47.538	4.184	30.866	6.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.845	5.312	23.61	6.915	0	0	0	0	0	0	24.616	17.362	20.725	11.435	21.995	15.086	0	0	0	0	0	0	29.246	4.437
