reference	S1	S2	S3	S4					
time 	area								
0	0	22.227	5.531	0	0	0	0	0	0
0	0	22.285	10.278	0	0	0	0	0	0
0	0	22.415	7.788	0	0	0	0	0	0
0	0	22.477	5.553	0	0	0	0	0	0
0	0	22.546	8.339	0	0	0	0	0	0
0	0	22.628	12.798	0	0	0	0	0	0
0	0	22.751	17.162	0	0	0	0	0	0
0	0	22.841	9.844	0	0	0	0	0	0
0	0	22.933	7.899	0	0	0	0	0	0
0	0	23.028	11.24	0	0	0	0	0	0
0	0	23.097	8.642	0	0	0	0	0	0
0	0	23.203	215.902	0	0	0	0	0	0
0	0	23.439	89.694	0	0	0	0	0	0
0	0	23.568	11.296	0	0	0	0	0	0
0	0	23.632	17.082	0	0	0	0	0	0
0	0	23.752	33.492	0	0	0	0	0	0
0	0	23.845	76.897	0	0	0	0	0	0
0	0	23.929	13.393	0	0	0	0	0	0
0	0	24.048	21.339	0	0	0	0	0	0
0	0	24.171	66.738	0	0	0	0	0	0
0	0	24.332	18.484	0	0	0	0	0	0
0	0	24.419	11.17	0	0	0	0	0	0
0	0	24.474	11.728	0	0	0	0	0	0
0	0	24.64	23.056	0	0	0	0	0	0
0	0	24.772	34.873	0	0	0	0	0	0
0	0	24.951	23.926	0	0	0	0	0	0
0	0	25.069	22.255	0	0	0	0	0	0
0	0	25.171	8.443	0	0	0	0	0	0
0	0	25.25	15.88	0	0	0	0	0	0
0	0	25.305	20.611	0	0	0	0	0	0
0	0	25.383	10.508	0	0	0	0	0	0
0	0	25.452	73.717	0	0	0	0	0	0
0	0	25.587	42.175	0	0	0	0	0	0
0	0	25.783	1.849	0	0	0	0	0	0
0	0	25.945	19.884	0	0	0	0	0	0
0	0	26.029	8.36	0	0	0	0	0	0
0	0	26.157	26.324	0	0	0	0	0	0
0	0	26.245	11.883	0	0	0	0	0	0
0	0	26.308	51.684	0	0	0	0	0	0
0	0	26.506	264.462	0	0	0	0	0	0
0	0	26.666	1.41	0	0	0	0	0	0
0	0	26.793	0.999	0	0	0	0	0	0
0	0	26.891	5.872	0	0	0	0	0	0
0	0	26.977	6.161	0	0	0	0	0	0
0	0	27.081	52.169	0	0	0	0	0	0
0	0	27.177	9.804	0	0	0	0	0	0
0	0	27.213	17.911	0	0	0	0	0	0
0	0	27.308	12.713	0	0	0	0	0	0
0	0	27.374	13.791	0	0	0	0	0	0
0	0	27.444	11.323	0	0	0	0	0	0
0	0	27.555	19.416	0	0	0	0	0	0
0	0	27.637	11.568	0	0	0	0	0	0
0	0	27.698	13.155	0	0	0	0	0	0
0	0	27.842	77.092	0	0	0	0	0	0
0	0	27.92	74.601	0	0	0	0	0	0
0	0	28.097	148.17	0	0	0	0	0	0
0	0	28.29	23.63	0	0	0	0	0	0
0	0	28.398	48.237	0	0	0	0	0	0
0	0	28.566	82.793	0	0	0	0	0	0
0	0	28.68	62.939	0	0	0	0	0	0
0	0	28.784	24.834	0	0	0	0	0	0
0	0	28.866	32.612	0	0	0	0	0	0
0	0	28.988	27.806	0	0	0	0	0	0
