,M10,M12,M14,M15,M16,M17,M18,M19,M2,M20,M21,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M33,M35,M36,M37,M38,M39,M4,M40,M41,M43,M44,M45,M46,M47,M48,M5,M6,M7,M8,M9,P10,P12,P14,P15,P16,P17,P18,P19,P2,P20,P21,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P33,P35,P36,P37,P38,P39,P4,P40,P41,P43,P44,P45,P46,P47,P48,P5,P6,P7,P8,P9
20.25794118,0,0,0,0,0,0,0,4740496.41,1497362.472,0,995705.121,3218525.106,10447683.31,0,0,1483132.746,0,3865540.154,0,0,0,2758577.126,2819539.699,2491761.558,1237440.621,0,0,0,0,2733235.978,0,0,3908440.445,9457000.949,1575452.917,2351299.283,0,12332446.9,0,0,0,0,0,0,7841676.276,4358989.172,0,1144156.757,2110566.856,0,0,33965136.05,5311694.005,1492896.552,0,0,4511038.111,0,2743161.697,4861008.524,0,0,4983118.182,0,0,0,0,2792089.648,0,0,0,0,0,7614362.78,9893695.825,6503364.266,0,0,0,0,1762254.782,2223655.515
20.361875,7280807.898,2143275.558,0,0,0,0,0,16618235.09,0,0,0,0,6804560.192,0,0,0,2609681.849,6679691.399,0,1413286.349,0,2980946.488,0,72714212.77,0,0,3515011.097,0,144743265.8,1310755.578,0,0,15434221.74,284724174.2,0,2087332.17,1117657.187,0,0,0,1630489.905,0,0,0,0,16885287.89,0,0,2457928.781,0,0,0,12422183.14,1906062.365,0,0,0,1887187.982,4473068.708,0,0,5577132.216,8277590.99,0,0,0,0,28410752.82,0,68511166.38,0,0,2235596.422,48521306.55,59459101.62,0,4080014.992,1406285.586,0,0,0,0
20.45466667,0,0,0,0,0,0,0,0,1045727.105,0,0,1907773.08,1891055.516,0,0,0,3621375.953,9723725.115,0,0,0,0,0,10979632.38,0,0,0,0,42872498.8,0,0,0,0,33724603.78,0,0,1277187.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4171115.569,0,0,0,0,0,2988216.454,0,0,0,2745084.219,0,0,0,0,0,0,0,0,0,1930726.937,0,16672000.22,0,1371474.476,0,0,0,0,0
20.51086207,6138585.324,3627998.631,892004.606,0,3945447.464,1458978.066,2004009.119,32384461.33,0,1705788.067,3504769.792,7848304.655,11126666.27,2455114.798,2301522.351,1651385.296,0,0,0,2989129.741,4379018.402,17475547.87,2170138.589,29986237.26,2459124.055,5916572.094,7950929.123,0,0,4340643.453,2372172.904,1929172.947,16845577.21,8952888.18,0,0,0,1095295.825,1371574.087,0,1589678.744,1842878.385,4302427.938,1264266.41,0,31487143.99,3070264.442,1588298.322,5043849.041,0,795845.823,2927005.436,14793146.17,7043313.372,1340147.646,0,0,3407633.262,1519807.174,0,3793656.942,3289936.124,19240952.44,4627148.386,3224475.908,0,5847647.038,48549523.94,0,0,2185262.773,2953516.221,0,41574127.82,6323599.057,0,4588572.427,0,1960067.937,0,0,1464291.768
20.568,0,1036723.992,0,0,1610112.79,0,0,0,0,0,0,2301424.707,3295402.222,0,0,0,0,0,0,1019382.23,1303010.353,4757028.454,0,0,0,3201499.059,2484215.987,0,0,0,0,0,2223094.664,0,0,0,0,0,0,0,0,0,1290087.757,0,0,4870705.155,0,0,2255458.756,0,0,1358539.234,4167167.266,2113695.492,0,0,0,0,0,0,0,1021370.91,5360643.748,1218587.869,0,0,1587811.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.8027027,2714387.037,4593943.287,0,0,1436322.091,0,0,17582412.67,2234918.059,0,1090719.708,8832337.518,13429335.65,0,0,0,0,3662897.574,0,1371513.288,5492139.524,16550187.77,2266452.153,11286038.46,0,3868543.107,3842472.929,0,1498561.343,0,0,0,2565010.962,0,0,1948961.156,0,0,0,0,0,0,2064539.421,0,0,18145507.1,1807391.779,0,9729650.392,0,0,1962144.785,18367779.75,9065550.943,0,0,0,0,3661487.191,0,1132059.447,4836487.457,27390325.19,2051078.12,2438142.364,0,6124242.903,13973247.48,0,0,0,0,0,4611728.255,6855341.333,0,2128089.412,0,0,0,0,0
20.84133333,0,0,0,0,2651168.565,0,0,0,0,0,1350444.043,0,0,0,0,0,0,1658097.205,0,2532350.065,0,0,0,19691425.3,0,2996771.555,3956108.62,0,0,0,0,0,0,0,0,0,0,2791147.531,0,0,0,0,3519272.405,0,0,0,1233387.035,0,0,0,0,3003453.387,0,0,0,0,0,0,2212375.514,0,0,0,0,1606017.82,0,0,0,12069012.64,0,0,0,0,0,2174197.47,0,0,0,0,0,0,0,0
21.00333333,0,0,0,0,0,0,0,0,0,0,0,1393277.149,1884998.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508561.639,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.09,0,0,0,0,0,0,0,27716318.26,0,0,0,0,0,0,0,1471534.153,2332409.873,0,0,0,0,10035590.91,0,0,0,0,0,0,0,0,1092679.74,0,79742837.51,55795431.36,0,0,1137277.8,0,0,0,1397968.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14756060.04,0,0,0,0,0
21.12214286,5986548.947,0,0,0,0,0,0,0,1992346.081,0,2186817.639,0,8880796.618,0,1566243.165,2431316.427,5179545.496,22169767.8,0,0,0,0,0,45985862.52,2771662.016,4207222.99,0,0,5068042.701,0,1655218.851,2254459.104,0,0,0,2599955.818,1686826.643,0,0,0,3845699.943,0,7863103.395,1492648.793,0,24050202.18,1911521.434,2151126.257,4063854.691,0,1917456.936,2154472.708,0,6744471.395,0,0,0,4892219.619,0,0,2309277.747,4416132.129,17151966.16,1894350.46,0,7281218.127,4674064.299,57062243.75,1367869.087,4184390.056,2194548.865,0,6465543.797,0,72106937.54,3036687.579,0,1264991.716,2171106.981,0,0,0
21.21238095,0,0,0,0,0,0,0,4598300.325,4097141.198,0,0,3895805.399,2329218.457,0,0,0,4265085.316,12763673.59,0,0,0,2737372.932,0,0,3088813.02,0,0,0,4009359.564,4129347.759,0,0,0,10913623.31,0,2763673.099,0,0,0,0,0,0,0,0,0,4279676.659,0,0,0,0,0,0,6591555.886,1667434.168,0,0,0,0,4509427.69,0,1938083.617,0,3586630.388,0,0,3059096.825,0,0,0,0,0,0,0,0,17950089.46,0,5332299.947,0,0,0,0,0
