C3	C2	M2	M3	M4	M5	M6	M7	M8	M9	M10	M12	M14	M15	M16	M17	M18	M19	M20	M21	M23	M24	M25	M26	M27	M28	M29	M30	M31	M33	M35	M36	M37	M38	M39	M40	M41	M43	M44	M45	M46	M47	M48	P2	P3	P4	P5	P6	P7	P8	P9	P10	P12	P14	P15	P16	P17	P18	P19	P20	P21	P23	P24	P25	P26	P27	P28	P29	P30	P31	P33	P35	P36	P37	P38	P39	P40	P41	P43	P44	P45	P46	P47	P48																																																																																				
time	area																																																																																																																																																																						
18.08	11256993.35	35.82	47369250.21	15.32	1304011.714	25.67	2427057.946	NA	NA	21.5	2148145.083	16.36	59074251.6	15.05	1274228.965	NA	NA	17.14	1350417.074	21.13	5986548.947	17.7	15113348.5	NA	NA	NA	NA	15.52	6888263.641	24.11	14466631.71	18.56	8551063.468	14.7	10534638.99	NA	NA	17.47	4978157.793	15.25	2251090.768	14.34	4977326.5	20.51	2455114.798	17.48	1862284.838	21.35	11437987.94	21.31	9064123.74	14.29	1986255	20.57	1019382.23	13.79	4622540.695	14.86	1904583.031	18.91	6378733.948	19.29	3078599.276	17.08	2554575.372	17.7	39790326.41	18.64	17842299.61	18.93	3222526.842	21.13	6875399.148	19.62	2309224.798	30.79	6466855.151	16.16	2642498.742	16.67	53260625.95	21.62	1168761.935	14.74	6472528.137	19.45	55300720.74	26.79	17779722.69	NA	NA	22.77	2668020.458	14.48	420333863.4	17.15	1833032.547	24.43	1247357.542	17.47	1309241.721	22.48	2821304.901	14.48	669647917.7	NA	NA	36.84	3011593.744	14.65	2378396.5	22.49	11802458.72	24.43	2202252.143	14.93	6301003.524	NA	NA	14.18	3300491.429	15.63	99534954.4	15.05	2821835.464	NA	NA	18.26	2016200.656	16.47	3097127.612	24.44	10616692.67	14.34	3976010.622	17.63	2130214.857	14.34	1718362.766	14.34	18864151.67	18.47	5411614.213	19.44	23729930.83	14.48	656658404.2	16.79	2480792.063	17.09	6053573.225	19.53	18923487.5	22.76	3247473.978	16.89	2148960.69	19.78	4219552.562	15.74	6319094.748	16.47	41268142.67	19.53	9523792.736	15.17	10235563.64
18.15	7703659.939	35.99	2514588.129	15.44	4490838.497	26.79	3484145.434	NA	NA	21.62	3697915.696	16.5	10721402.5	15.46	7289143.102	NA	NA	17.32	1281716.252	21.3	22774379.55	17.77	6299238.808	NA	NA	NA	NA	15.6	2220767.828	24.88	3698867.669	18.64	3860001.145	14.8	8470236.292	NA	NA	17.54	4474596.052	15.32	1825367.518	14.37	1736497.905	21.12	3060875.694	17.7	33217460.19	21.41	11764528.79	21.37	23982358.5	14.34	3571702.478	20.62	6311358.929	13.86	3409691.084	14.92	8431909.196	18.97	3079410.869	19.32	1706513.722	17.33	2665293.804	17.77	11266782.96	18.8	2097016.057	18.98	1237119.202	21.2	4129347.759	19.72	9319270.309	31.41	61690027.83	16.21	5306697.112	16.8	312011565	22.49	1294270.54	14.8	6037757.065	19.63	1564228.083	26.87	1333631.331	NA	NA	23.31	6605040.156	14.7	3416772.056	17.47	2565096.896	35.8	20437006.77	17.69	18808389.57	22.54	1791285.972	14.7	3049169.211	NA	NA	37.04	4480497.41	14.7	24828930.73	23.31	8158399.264	24.87	2524586.904	14.98	2432637.348	NA	NA	14.48	405263227.3	15.7	2680923.186	15.11	1820705.113	NA	NA	18.48	2484782.868	16.79	1841512.501	24.88	5675167.151	14.47	9711548.088	17.69	24081537.38	14.48	388190088.1	14.46	4729395.819	18.56	19472821.36	19.6	1518737.87	14.75	8276580.462	16.85	1239343.311	17.16	12131218.41	19.62	2535870.372	23.31	5754497.412	17.33	1987875.983	19.86	1940326.276	15.96	120448691	16.59	21424888.12	19.72	24946445.01	15.45	1507751.714
18.29	7504686.119	36.05	497316.008	15.54	18936886.21	31.43	10088935.51	NA	NA	21.7	1523871.612	16.59	6922688.115	15.51	5054902.033	NA	NA	17.41	3402827.725	21.59	2820731.598	18.18	2286301.832	NA	NA	NA	NA	15.74	1610673.073	25.67	3169652.586	18.92	1754053.409	14.87	2278983.057	NA	NA	17.63	2600220.099	15.46	28601479.08	14.48	3393468.823	21.29	2186050.846	17.91	1309471.153	21.5	3356828.188	21.42	26641040.86	14.37	1749279.584	20.72	5323587.408	14.06	2866855.43	15.05	4094964.015	19.22	1907045.239	19.42	293572853.3	17.42	4608826.567	17.91	1373582.403	18.9	6856747.034	19.22	1079578.732	21.3	10784399.25	19.78	5748476.516	31.62	2633333.575	16.3	7239598.606	16.9	18050870.88	23.31	1356622.613	14.86	1494690.663	19.73	11012456.22	30.84	2698488.038	NA	NA	24.1	5233528.431	14.76	4614301.924	17.63	1500677.04	NA	NA	17.76	3646287.304	23.31	2491273.309	14.75	7077787.467	NA	NA	37.54	9512363.669	14.8	16402224.41	24.11	7950409.734	25.67	3330549.398	15.06	2806220.937	NA	NA	14.7	2841449.554	15.75	9675329.584	15.16	9130589.035	NA	NA	18.65	1367461.497	16.9	2397801.921	25.67	4439319.032	14.52	1570813.048	17.76	6481134.576	14.63	778613.155	14.52	2476478.377	18.64	6340187.657	19.67	2985415.966	14.89	1932529.997	16.9	5748624.039	17.23	4145984.656	19.72	173812793.8	24.11	5565270.017	17.42	3681939.139	20.36	2235596.422	16.09	108969746.7	16.67	59001011.46	20.27	6503364.266	15.54	6508499.704
18.37	1112613.311	36.1	2384554.04	15.62	56788115.52	33.63	7836983.88	NA	NA	22.48	4184206.467	16.67	17101888.62	15.74	1122000.476	NA	NA	17.47	1910262.122	21.63	8007391.225	18.23	1374476.175	NA	NA	NA	NA	16.3	1080669.023	27.71	2050806.142	18.98	2656364.79	14.92	7845515.14	NA	NA	17.71	21629088.18	15.55	38069179.18	14.52	2815190.685	21.32	1915351.302	18.17	3865253.989	21.57	1717432.801	21.51	3714515.63	14.47	16223537.8	20.79	1371513.288	14.13	1277783.308	15.17	17573770.2	19.4	9265110.85	19.61	20649243.79	17.48	1638513.106	17.95	3086033.483	18.97	8260882.31	19.41	70784882.54	21.35	21767470.26	20.17	1336558.997	33.61	7346757.432	16.4	20846724.73	17.03	94414711.21	24.1	1195342.314	14.91	5828811.227	19.79	4359555.593	31.4	10087027.07	NA	NA	24.43	5213256.976	15.05	3001045.447	17.7	11539177.6	NA	NA	18.17	3411547.027	24.11	2573197.021	15.05	6610161.852	NA	NA	38.48	8516512.186	14.86	5897530.589	24.17	2617512.825	26.79	4519683.749	15.17	15259546.9	NA	NA	14.75	4118655.787	15.83	2825169.912	15.46	23955406.99	NA	NA	19.39	4275259.206	17.09	1732604.743	26.59	1896391.031	14.74	7031684.196	17.9	1051278.308	14.7	4306328.352	14.58	3339675.983	18.91	3082357.946	19.72	11165881.15	15.05	5723388.936	16.98	1763402.336	17.32	4351668.211	20.35	68511166.38	24.43	2494689	17.7	5727775.68	20.48	1930726.937	16.16	1634774.939	16.79	351858002.5	20.62	2568829.475	15.62	26342109
18.48	14508277.05	36.16	1220443.834	15.74	3785186.029	34.22	7090856.53	NA	NA	22.55	1223864.645	16.8	133514261.2	16.39	3930098.288	NA	NA	17.69	14481956.84	21.71	4023330.598	18.48	4801934.6	NA	NA	NA	NA	16.36	969442.253	30.1	3275464.265	19.4	10745149.9	14.98	1535865.978	NA	NA	17.77	7473809.021	15.63	90007131.1	14.73	11754648.2	21.56	2017817.393	18.22	2374673.075	21.63	6609787.314	21.58	3844684.97	14.52	1677773.145	20.84	2532350.065	14.18	3487785.059	15.37	1393014.411	19.45	11342407.55	19.67	15086591.44	17.7	48459181.23	18.17	2136267.261	19.06	3480151.357	19.53	30529259.2	21.41	21753457.83	20.49	2372172.904	35.81	66682785.43	16.48	42414594.19	17.08	114236998.7	26.79	10755412.62	14.98	1266934.891	20.63	3367493.762	33.6	2905662.214	NA	NA	24.88	2692496.518	15.21	1133036.493	17.77	3316830.506	NA	NA	18.47	2371407.076	24.43	10991830.78	15.11	1537961.194	NA	NA	NA	NA	14.92	14752599.34	24.43	19960712.62	30.81	3626939.544	15.46	29445128.1	NA	NA	15.05	2686991.872	15.97	226918991.5	15.54	11887825.93	NA	NA	19.44	5231170.87	17.43	13107086.84	26.79	1565236.02	14.8	5842418.077	17.95	2119387.881	14.75	7076076.274	14.7	16959156.59	18.98	4563336.247	19.78	5414982.819	15.46	3648649.764	17.08	4496249.004	17.4	10340140.78	20.62	5592492.254	24.88	2788438.856	17.77	2547786.46	20.62	6772408.252	16.2	5832092.335	16.9	20553243	20.72	2338417.928	15.74	1761361.671
18.56	8970811.529	36.19	2463397.577	15.96	139512295.6	35.81	86150819.61	NA	NA	22.76	2216591.858	17.03	37279816.85	16.79	1557151.055	NA	NA	17.76	3451716.113	22.49	9765743.515	18.56	8839676.198	NA	NA	NA	NA	16.4	7849958.596	30.54	3886161.694	19.45	13179351.51	15.05	8675924.574	NA	NA	17.96	1883416.2	15.7	3502893.383	14.8	8744576.468	21.62	2090911.399	18.48	5883556.423	21.7	3490512.05	21.64	7551805.036	14.74	9509904.976	21.13	3553496.512	14.34	2548495.323	15.46	41758676.27	19.51	3469538.406	19.73	44183894.71	18.22	2482849.944	18.48	5828093.851	19.16	3737625.241	19.62	5218989.662	21.5	5968021.94	20.63	4142010.441	36.04	905755.915	16.64	2580816.714	17.15	36065359.24	30.78	2913942.579	15.05	4865492.957	20.91	3211632.575	33.65	2840800.732	NA	NA	25.67	1816332.22	15.46	17028471.32	18.41	1888273.059	NA	NA	18.55	2356730.244	24.87	1734073.68	15.21	2144940.415	NA	NA	NA	NA	14.97	3874649.004	24.87	4106686.445	31.43	11941659.68	15.55	15402638.46	NA	NA	15.21	1179054.833	16.1	200268253.2	15.62	26017247.16	NA	NA	19.53	6028235.614	17.7	33075378.35	30.82	2183495.824	14.92	7161279.475	18.21	1451191.636	14.88	4367423.514	14.74	9980633.461	19.05	1745879.971	20.06	1365525.279	15.51	7941820.199	17.16	5127194.194	17.47	18844290.22	20.72	3324624.802	25.67	2722241.3	18.18	12884918.68	20.72	5210676.108	16.27	6353348.186	17.03	111521313.6	21.13	3036687.579	15.96	75037081.96
18.65	3506386.516	36.85	1493944.429	16.09	122211966.8	36.07	1996049.578	NA	NA	23.31	4534982.999	17.08	50581061.9	16.89	1633629.514	NA	NA	17.91	1211977.428	22.56	3321552.314	18.65	7608316.198	NA	NA	NA	NA	16.47	3216329.982	31.44	16296546	19.51	4088466.761	15.1	3641582.267	NA	NA	18.18	2317138.581	15.74	8164053.242	14.87	2884623.797	22.48	4777562.968	18.65	2893069.278	22.49	6801624.759	21.72	3277668.618	14.79	8054472.699	21.29	10347355.22	14.48	557340356.4	15.54	18742161.5	19.67	3376867.298	19.79	25597449.54	18.48	5782356.105	18.56	27584465.04	19.22	5112715.566	19.72	232683830.4	21.57	3599593.577	20.72	5157069.181	36.09	3179265.01	16.69	9722519.606	17.22	101157143.6	31.42	42091907.84	15.11	2243427.276	21.3	2548295.875	35.81	70198321.61	NA	NA	26.59	926392.135	15.51	8833235.117	18.48	1412511.712	NA	NA	18.63	3317517.175	25.66	1593729.961	15.38	1762667.161	NA	NA	NA	NA	15.05	15059252.92	25.67	4333516.187	33.62	4623734.508	15.63	32049174.6	NA	NA	15.46	32841731.44	16.23	2038161.985	15.74	2689000.339	NA	NA	19.72	50638167.54	17.76	5187686.765	30.84	2905945.081	15.04	1969182.788	18.47	4831572.867	15.06	9378029.622	14.8	21293517.55	19.22	4239965.117	20.52	3224475.908	15.74	1308645.225	17.23	1678280.907	17.63	11302724.38	21.13	4184390.056	26.79	12567903.29	18.48	6785511.353	21.13	6465543.797	16.35	110032288.9	17.08	130422977.1	21.29	3071723.026	16.09	69504735.55
18.8	2216298.162	36.88	4547737.981	16.27	5163433.671	36.1	1145070.862	NA	NA	24.11	4620122.866	17.15	12684739.79	17.09	1250020.074	NA	NA	18.17	4382865.908	22.63	1873212.883	18.91	1691795.286	NA	NA	NA	NA	16.79	3563268.899	33.65	6968881.303	19.67	2918260.175	15.16	16893766.41	NA	NA	18.23	964076.751	15.83	2922497.546	14.92	8904771.957	23.3	2810105.772	18.74	1121241.514	22.77	4414193.18	22.5	8777894.828	14.86	1594462.268	21.57	3590948.985	14.7	7475967.259	15.62	40839302.47	19.73	8127188.63	19.86	10958711.23	18.64	11148196.14	18.64	4753185.125	19.32	2398477.959	19.96	8215850.121	21.63	8939833.181	21.08	1092679.74	36.15	2822985.245	16.8	11722452.31	17.33	45425544.06	33.62	4375711.609	15.16	10453604.73	21.36	1893193.227	36.02	2315098.585	NA	NA	26.79	25199586.15	15.6	2376209.266	18.55	4616444.495	NA	NA	18.91	1751814.06	26.79	69128805.53	15.46	53768372.9	NA	NA	NA	NA	15.1	7038972.292	26.79	6503324.829	35.82	53370494.74	15.75	2558244.943	NA	NA	15.59	7044905.476	16.3	12128000.18	15.96	63298318.48	NA	NA	20.72	940162.998	18.23	1098600.095	31.43	21206941.03	15.16	11293777.86	18.55	11014234.62	15.12	2442963.982	14.92	27177606.46	19.4	15297115.44	20.62	2798141.761	16.47	2058741.573	17.32	1505587.956	17.7	100018656.4	21.3	2868157.269	30.8	9235406.836	18.65	5798073.906	21.3	6049210.765	16.47	39913392.34	17.15	40894206.71	21.35	2060470.013	16.28	1696418.873
18.89	8209719.852	37.55	10718827.6	16.35	125022129.3	36.13	3569570.983	NA	NA	24.25	1187751.876	17.23	34728132.72	17.15	1454520.216	NA	NA	18.47	6615447.287	23.32	11404986.92	18.98	3848379.624	NA	NA	NA	NA	16.9	3009472.089	35.84	70793535.4	19.73	7533974.435	15.46	42002444.86	NA	NA	18.28	1265809.425	15.97	211769553.6	14.97	2024719.275	24.1	3862627.146	18.85	3315870.292	23.21	1302769.864	22.56	2845973.348	14.91	6561699.91	21.63	8551579.084	14.75	10084097.18	15.74	3245232.445	19.78	4800912.933	19.98	4808263.016	18.73	2637652.537	18.92	3973216.574	19.4	109030017.8	20.19	14032640.59	21.71	3957672.801	21.13	1655218.851	36.85	1821042.928	16.9	11742188.56	17.43	27679580.89	35.82	51999938	15.44	1947483.774	21.41	2032288.095	36.1	3887300.067	NA	NA	30.79	3877214.409	15.74	3503737.675	18.64	6953356.686	NA	NA	18.97	1447272.262	31.42	28622521.83	15.6	4924208.38	NA	NA	NA	NA	15.16	32406987.4	30.53	5536371.449	36.04	1225517.749	15.97	80766873.24	NA	NA	15.75	52621665.83	16.36	235886260.3	16.09	55104735.57	NA	NA	21.3	849204.091	18.48	4976096.414	33.63	11500376.77	15.45	5845350.714	18.63	6435320.947	15.21	5714250.366	14.98	5679699.762	19.45	19023185.88	20.73	2104059.604	16.72	2041601.464	17.39	3360688.217	17.77	33190529.03	21.35	10582447.75	31.42	56090072.5	18.97	1386667.306	21.35	2773216.323	16.58	14940917.5	17.22	118119497.6	21.41	1724752.467	16.35	67835571.5
18.97	18508736.64	38.5	6891362.066	16.49	22135015.63	36.85	2114049.097	NA	NA	24.43	10848369.79	17.33	1404326.802	17.47	3545823.378	NA	NA	18.63	3872939.27	24.11	12071355.86	19.41	81192449.02	NA	NA	NA	NA	17.09	2713681.251	36.91	2128906.261	19.79	4772472.648	15.54	20063842.84	NA	NA	18.41	2335835.987	16.1	184939850.4	15.04	4739604.15	24.87	1669453.659	18.98	1025508.391	23.32	7161520.739	22.78	13778984.5	14.97	1511477.731	21.7	3993048.516	14.87	4552705.895	15.96	94570167.7	20.05	1100530.505	20.06	12732198.65	18.8	1214790.164	18.97	6634142.872	19.61	8180874.368	20.36	144743265.8	22.49	8276354.744	21.29	5046702.959	37.05	3199288.462	16.99	2298480.026	17.48	127406932.7	36.86	2356814.101	15.54	8074549.939	21.63	2589100.32	36.86	2478824.761	NA	NA	30.88	1806859.679	16.29	1996709.73	18.9	1464374.305	NA	NA	19.39	20198242.12	33.63	8868032.165	15.75	5526834.047	NA	NA	NA	NA	15.37	3209254.404	31.43	21226898.42	36.08	2611701.229	16.1	69188762.93	NA	NA	16.29	3672592.078	16.5	39546769.33	16.28	3530733.704	NA	NA	21.35	4458660.083	18.56	4783086.165	34.86	3308399.832	15.54	10423089.38	18.73	2190996.431	15.38	2308514.149	15.05	9649139.973	19.51	6067662.316	20.79	2438142.364	16.9	1872311.674	17.46	5354566.402	17.91	2292211.543	21.41	12993134.24	33.63	12212257.77	19.41	65327251.81	21.4	3667418.59	16.67	39370136.16	17.32	34085990.28	21.5	6780078.835	16.43	1980124.186
19.32	4266002.09	NA	NA	16.58	17959395.65	36.88	912934.215	NA	NA	24.87	3020415.589	17.43	22475583.39	17.62	1252774.041	NA	NA	18.73	2990633.534	24.26	2083603.591	19.61	4085805.707	NA	NA	NA	NA	17.16	2416838.766	36.94	5569815.704	20.06	1082903.798	15.62	46296132.92	NA	NA	18.48	9214391.986	16.28	12475228.76	15.16	23889595.2	25.67	3962193.372	19.4	13400726.7	24.11	4412674.162	23.33	9290424.941	15.05	8190921.439	22.49	11662226.39	14.96	1610403.786	16.09	86172651.8	20.27	2819539.699	20.18	6698039.497	18.91	2041930.715	19.05	1976991.136	19.67	6407167.527	20.44	42872498.8	22.62	1439255.406	21.35	2711676.865	37.57	6736607.061	17.04	3049186.294	17.62	339933301	37.55	4357088.765	15.62	31937942.91	22.5	1398806.724	36.88	6928307.614	NA	NA	31.42	19129729.92	16.4	4927227.207	18.98	2068597.718	NA	NA	19.52	8919050.766	35.81	87816399.18	16.29	4110345.046	NA	NA	NA	NA	15.46	77155603.29	33.63	8522016.065	36.16	3400985.203	16.3	4549582.834	NA	NA	16.4	8806202.09	16.59	27887052.29	16.35	70209409.7	NA	NA	21.41	4235739.382	18.65	4130980.808	34.94	4170282.074	15.62	31961219.34	18.9	1882664.095	15.46	49580762.95	15.11	8418959.849	19.61	1658426.145	21.13	2556640.435	17.08	1285648.492	17.58	3010032.329	17.95	9160290.663	21.58	1318502.806	35.82	132774309	19.53	8893183.968	21.62	7462893.331	16.79	245969402.4	17.41	23445814.41	21.63	3101375.156	16.49	11807649.98
19.44	82785945.95	NA	NA	16.67	45188578.33	36.92	3438986.761	NA	NA	25.67	3229547.485	17.48	49699401.27	17.7	10166162.43	NA	NA	18.84	4352399.074	24.43	2397585.314	19.66	3059345.278	NA	NA	NA	NA	17.23	1226893.002	37.58	11676815.72	20.52	2004009.119	15.74	5294971.179	NA	NA	18.57	13981588.05	16.36	213898278.9	15.37	2103414.441	26.78	11566847.19	19.44	14674244.4	24.26	1358344.976	24.12	8806793.323	15.16	16272393.27	23.31	10319554.81	15.05	7268564.377	16.29	5762738.23	20.51	2170138.589	20.24	2491761.558	18.98	1351110.311	19.16	2150266.249	19.72	24393341.8	20.62	14341136.03	22.77	8348791.563	21.62	5221591.448	38.46	2557964.154	17.09	5410737.708	17.7	54353395.67	38.52	5437394.296	15.74	6058277.029	22.77	1838940.45	37.55	7790794.24	NA	NA	33.59	3331181.27	16.47	4274373.493	19.4	19423774.71	NA	NA	19.63	1808731.386	36.83	1509544.562	16.4	14470935.27	NA	NA	NA	NA	15.54	35113144.41	35.81	95142959.91	36.91	4412060.346	16.36	84616281.11	NA	NA	16.47	6269283.807	16.68	85375543.05	16.49	9830896.339	NA	NA	22.77	1485115.339	18.73	1582031.922	35.02	5394593.567	15.74	2399218.083	18.97	3007898.19	15.54	14923121.1	15.16	44547333.62	19.66	2826677.536	21.29	3661296.793	17.33	1052343.671	17.63	4822425.935	18.17	9980674.743	21.63	3972172.49	36.06	3738291.151	19.62	2596179.862	21.71	2590099.218	16.9	12692788.75	17.48	147299504	22.49	3037744.013	16.58	10716680.6
19.78	6523647.09	NA	NA	16.79	302202131.5	37.05	3376295.135	NA	NA	26.59	1460535.441	17.62	3538327.812	17.77	3437801.827	NA	NA	18.91	1369327.19	24.88	6632341.717	19.73	12798729.72	NA	NA	NA	NA	17.39	2426258.802	38.53	9179991.773	20.63	1517561.221	15.96	112197695.1	NA	NA	18.65	2952748.825	16.5	35661925.44	15.45	55801234.72	30.8	3501587.869	19.53	15807929.2	24.43	15350871.17	24.27	5544272.119	15.44	2967315.583	24.11	8705314.986	15.11	3327935.666	16.35	109000916.2	20.63	2906390.124	20.35	72714212.77	19.22	1457456.841	19.21	3534007.462	19.78	11950107.69	20.73	3762935.07	23.31	7915058.413	21.7	1562462.057	38.5	5055665.255	17.16	3858503.123	17.77	32502273.85	NA	NA	15.96	88616865.72	23.32	2168195.812	38.49	7064623.84	NA	NA	33.63	6607629.262	16.68	1722128.128	19.52	5185501.78	NA	NA	19.71	59596704.92	36.87	6565494.019	16.47	5374957.129	NA	NA	NA	NA	15.62	76427822.37	36.09	8280695.232	37.55	5517780.036	16.5	10791422.73	NA	NA	16.9	3747434.284	16.8	497412871.6	16.58	8015598.091	NA	NA	24.43	3499885.209	18.91	7213531.435	35.07	2571513.177	15.96	89757709.32	19.21	1310430.388	15.6	6116363.643	15.37	9774653.939	19.72	13816104.99	21.58	3357649.483	17.42	1430736.206	17.7	33424908.16	18.22	5816145.838	21.71	1174620.984	36.1	8428461.543	19.72	30204612.08	22.49	7101275.863	17.02	76776962.64	17.62	31250726.03	22.63	4435732.023	16.67	27080396.41
20.06	2886351.845	NA	NA	16.9	8559649.914	37.59	7053979.836	NA	NA	26.79	52978432.26	17.7	18725006.09	17.91	1019739.513	NA	NA	18.97	1323112.111	25.68	6728548.212	19.78	7911724.159	NA	NA	NA	NA	17.47	3400386.435	NA	NA	20.73	1765562.024	16.09	109777240.5	NA	NA	18.92	4009740.599	16.59	28191205.16	15.54	23627965.33	31.4	30285577.98	19.63	3079150.756	24.88	2911781.399	24.44	5430772.068	15.53	11621433.31	24.43	2954616.377	15.17	1868769.69	16.49	14873748.62	20.72	2919065.661	20.44	10979632.38	19.41	75853460.44	19.28	1311138.631	19.87	3426799.031	20.83	1498561.343	24.11	6982469.345	22.49	7256081.262	NA	NA	17.23	5108512.89	17.92	195134676.5	NA	NA	16.09	84073735.97	24.12	1772529.8	NA	NA	NA	NA	35.81	91209547.31	16.71	2551575.701	19.72	6148714.648	NA	NA	20.27	2223655.515	37.56	9014381.623	16.72	3190411.462	NA	NA	NA	NA	15.73	7142664.335	36.22	2194690.542	38.51	4786928.494	16.59	8789498.498	NA	NA	17.1	1502273.549	16.9	23177640	16.66	23470439.75	NA	NA	25.85	3460515.29	18.98	2710870.395	35.14	1463015.836	16.09	85647675.32	19.4	49575285.68	15.74	4563267.789	15.46	135771081	19.78	6325208.489	21.62	4734815.417	17.7	70717561.08	17.77	10434183.1	18.38	4435241.269	22.48	4456572.61	36.88	8692191.161	20.17	1329685.042	23.31	5574129.286	17.08	91475840.39	17.7	45178698.22	23.31	2812760.496	16.79	176968988.7
20.62	4177090.294	NA	NA	17.02	92328026.3	38.51	6125046.014	NA	NA	30.81	8579747.942	17.77	8085439.972	18.48	3017347.174	NA	NA	19.18	6168055.115	26.59	1811060.86	19.87	2384937.963	NA	NA	NA	NA	17.63	2753689.008	NA	NA	21.29	1588545.731	16.28	6748654.419	NA	NA	18.98	5622002.179	16.67	82702077.24	15.62	53222463.51	33.62	6028504.484	19.72	120733199.2	25.67	1612996.545	24.88	4777651.46	15.62	40144654.2	24.88	5751899.416	15.21	5676178.558	16.59	12271855.71	20.79	2266452.153	20.53	29986237.26	19.53	31784183.09	19.39	8823984.158	19.97	2635494.207	20.88	6235663.727	24.26	1439752.174	23.31	5246904.318	NA	NA	17.34	43319377.11	18	17275350.76	NA	NA	16.26	2399978.265	24.44	2816697.58	NA	NA	NA	NA	36.08	2108487.733	16.78	2183816.544	19.78	3542064.823	NA	NA	20.48	1464291.768	38.51	8112572.986	16.78	1836156.466	NA	NA	NA	NA	15.82	3136611.006	36.84	1205379.189	NA	NA	16.67	29803169.03	NA	NA	17.15	3496893.895	17.03	154580248.1	16.79	150428509.5	NA	NA	26.79	12742190.51	19.4	18990587.59	35.18	1406688.48	16.27	3510015.061	19.52	10535428.38	16.29	7571399.109	15.54	45413689.4	20.06	1948777.701	22.49	3462648.629	18.17	2233790.549	17.91	879563.17	18.48	17919761.37	22.77	3538960.885	37.07	6253879.317	20.49	2953516.221	24.11	4396693.646	17.15	31349481.44	17.77	34263832.24	23.69	3686693.289	16.9	5124802.791
20.72	1846497.728	NA	NA	17.08	111213853	NA	NA	NA	NA	31.42	61512522	17.91	80292717.26	18.55	6813596.707	NA	NA	19.4	59702251.28	26.8	27372898.94	19.91	3495242.419	NA	NA	NA	NA	17.7	22999733.7	NA	NA	21.33	1136245.785	16.35	126214825.5	NA	NA	19.22	1448589.407	16.8	466397032.9	15.74	21944846.81	35.8	64227451.06	20.49	2301522.351	26.79	7054046.857	25.68	6085999.363	15.73	4335318.21	25.67	4609387.286	15.38	3108311.135	16.66	36594518.39	21.13	1704818.275	20.62	53254696.66	19.63	8276098.596	19.44	20340013.19	20.06	6124194.858	20.94	2929276.092	24.43	3791127.214	24.11	4901865.757	NA	NA	17.43	5123448.139	18.08	37748743.62	NA	NA	16.35	80392629.29	24.88	1367203.442	NA	NA	NA	NA	36.09	5429841.1	16.9	7745901.662	20.64	6048555.903	NA	NA	20.62	3302392.527	NA	NA	16.85	1140872.774	NA	NA	NA	NA	15.96	180654842.4	36.88	2041583.022	NA	NA	16.79	190258872.4	NA	NA	17.42	65620153.35	17.08	178443519.5	16.89	5890395.936	NA	NA	30.79	3235585.006	19.45	15872099.46	35.21	4566424.108	16.35	87581615.05	19.62	2426432.345	16.35	1178989.462	15.62	92148433.48	20.51	4627148.386	22.52	665646.343	18.22	1292887.532	17.96	2112944.735	18.56	69319591.25	23.31	3584500.225	37.58	15382858.06	20.64	4137304.396	24.43	2258424.35	17.22	91582410.87	17.91	235919047.8	24.11	2538062.172	17.02	57338873.45
20.91	3220791.85	NA	NA	17.15	43118566.46	NA	NA	NA	NA	33.64	11350050.59	18.08	18597340.3	18.65	1181721.483	NA	NA	19.52	14425492.12	30.82	9914870.471	20.06	2501798.384	NA	NA	NA	NA	17.77	5041676.39	NA	NA	21.58	1127235.275	16.49	21195955.87	NA	NA	19.4	11966166.95	16.9	16559503.46	15.82	1442925.82	37.5	1700779.909	20.64	2838572.953	30.53	3594252.25	26.61	1782818.944	15.96	110778712	26.59	2366655.228	15.46	81367556.31	16.79	225780212.5	21.29	2638368.02	20.73	30057719.78	19.72	234439132.4	19.51	6167529.906	20.37	3515011.097	21.04	1069819.192	24.88	4728666.51	24.26	1477778.03	NA	NA	17.48	12009655.42	18.15	30421498.55	NA	NA	16.43	2124513.657	26.79	6615843.032	NA	NA	NA	NA	36.87	3851877.064	16.98	1344991.241	20.72	2530247.105	NA	NA	21.13	4565411.507	NA	NA	16.9	7013923.08	NA	NA	NA	NA	16.09	169038268.6	36.93	1389278.755	NA	NA	16.92	6125878.004	NA	NA	17.63	3010396.882	17.16	62948690	16.97	1214946.319	NA	NA	31.42	27618470.64	19.53	15551596	35.82	123903887.1	16.49	16287249.89	19.66	2225399.599	16.4	15995604.74	15.74	7517463.725	20.57	1218587.869	22.54	2462199.039	18.48	7029970.724	18.01	3490577.362	18.64	48921303.74	24.11	3191142.65	38.51	15910201.92	20.72	3157211.353	24.88	2883592.477	17.35	219678417.5	18.01	9096471.895	24.43	2063697.099	17.07	71523257.25
